uid,namedLocation,domainID,siteID,plotID,subplotID,startDate,endDate,flightYear,totalSampledArea,qualifyingVegetationArea,qualifyingVegetationPercent,dataQF,publicationDate,release
2121003d-134d-4d1c-b660-42170baccddf,CLBJ_008.basePlot.ltr,D11,CLBJ,CLBJ_008,31_400,2019-04-19,2019-04-20,2019,400,399,99.75,,20240104T224934Z,RELEASE-2024
00b47dd5-aebc-4e17-a780-955e78ae1b68,CLBJ_024.basePlot.ltr,D11,CLBJ,CLBJ_024,31_400,2019-04-19,2019-04-20,2019,400,34,8.5,,20240104T224934Z,RELEASE-2024
b68b8c6d-e538-48ce-86bf-76ffafecc839,CLBJ_001.basePlot.ltr,D11,CLBJ,CLBJ_001,31_400,2019-04-19,2019-04-20,2019,400,25,6.25,,20240104T224934Z,RELEASE-2024
2c1920e5-4862-4762-bf76-0aef3303895a,CLBJ_002.basePlot.ltr,D11,CLBJ,CLBJ_002,31_400,2019-04-19,2019-04-20,2019,400,368,92,,20240104T224934Z,RELEASE-2024
53270088-fc45-4c66-89be-ad5819f45435,CLBJ_029.basePlot.ltr,D11,CLBJ,CLBJ_029,31_400,2019-04-19,2019-04-20,2019,400,347,86.75,,20240104T224934Z,RELEASE-2024
205b9554-3928-4834-a148-4595835c5385,CLBJ_015.basePlot.ltr,D11,CLBJ,CLBJ_015,31_400,2019-04-19,2019-04-20,2019,400,342,85.5,,20240104T224934Z,RELEASE-2024
e9b385dc-7f2e-446d-b3b2-07a89a5bd5da,CLBJ_027.basePlot.ltr,D11,CLBJ,CLBJ_027,31_400,2019-04-19,2019-04-20,2019,400,400,100,,20240104T224934Z,RELEASE-2024
a0109f7d-051f-4cef-a656-3deb92e1fad5,CLBJ_007.basePlot.ltr,D11,CLBJ,CLBJ_007,31_400,2019-04-19,2019-04-20,2019,400,302,75.5,,20240104T224934Z,RELEASE-2024
eb9886e1-e15a-43b1-92af-a0b4d15939bb,CLBJ_004.basePlot.ltr,D11,CLBJ,CLBJ_004,31_400,2019-04-19,2019-04-20,2019,400,119,29.75,,20240104T224934Z,RELEASE-2024
8a58b9d9-88a7-476a-a69a-51dcdd84de60,CLBJ_011.basePlot.ltr,D11,CLBJ,CLBJ_011,31_400,2019-04-19,2019-04-20,2019,400,347,86.75,,20240104T224934Z,RELEASE-2024
489f6a9f-57ab-430d-9315-7bc6cbfd3ef7,CLBJ_025.basePlot.ltr,D11,CLBJ,CLBJ_025,31_400,2019-04-19,2019-04-20,2019,400,43,10.75,,20240104T224934Z,RELEASE-2024
81fb74e9-0e41-43e0-829d-267eeaf6d3b3,CLBJ_017.basePlot.ltr,D11,CLBJ,CLBJ_017,31_400,2019-04-19,2019-04-20,2019,400,370,92.5,,20240104T224934Z,RELEASE-2024
69020c4a-1f53-4cd2-86f4-c6b37e9221ee,CLBJ_014.basePlot.ltr,D11,CLBJ,CLBJ_014,31_400,2019-04-19,2019-04-20,2019,400,311,77.75,,20240104T224934Z,RELEASE-2024
2f4ad786-7261-44b3-bf2d-bc1789982eb0,CLBJ_013.basePlot.ltr,D11,CLBJ,CLBJ_013,31_400,2019-04-19,2019-04-20,2019,400,0,0,,20240104T224934Z,RELEASE-2024
